time	LF_FT_fx	LF_FT_fy	LF_FT_fz	LF_FT_tx	LF_FT_ty	LF_FT_tz	RF_FT_fx	RF_FT_fy	RF_FT_fz	RF_FT_tx	RF_FT_ty	RF_FT_tz	torque_des_0	torque_des_1	torque_des_2	torque_des_3	torque_des_4	torque_des_5	torque_des_6	torque_des_7	torque_des_8	torque_des_9	torque_des_10	torque_des_11	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	qdot_0	qdot_1	qdot_2	qdot_3	qdot_4	qdot_5	qdot_6	qdot_7	qdot_8	qdot_9	qdot_10	qdot_11	qdot_lpf_0	qdot_lpf_1	qdot_lpf_2	qdot_lpf_3	qdot_lpf_4	qdot_lpf_5	qdot_lpf_6	qdot_lpf_7	qdot_lpf_8	qdot_lpf_9	qdot_lpf_10	qdot_lpf_11	base_lin_vel_x	base_lin_vel_y	base_lin_vel_z	base_ang_vel_x	base_ang_vel_y	base_ang_vel_z	base_ang_vel_lpf_x	base_ang_vel_lpf_y	base_ang_vel_lpf_z	projected_grav_x	projected_grav_y	projected_grav_z	cmd_x	cmd_y	cmd_yaw	latent_0	latent_1	latent_2	latent_3	latent_4	latent_5	latent_6	latent_7	latent_8	latent_9	latent_10	latent_11	latent_12	latent_13	latent_14	latent_15	latent_16	latent_17	latent_18	latent_19	latent_20	latent_21	latent_22	latent_23	
0.00800000	   0.66985273   -0.24193427 -517.19701441    0.29321329   -8.62565797    0.06632837	  -0.66980236    0.24204020 -505.80479827    0.07591330   -9.75905959    0.07090137	 -0.00053533   0.03766156 -13.19637112 -41.73491702   6.72210939  -0.00107754  -0.00051623  -0.03500966 -13.18912942 -41.71584862   6.72433858   0.00112655	-0.00001143  0.00003557 -0.23977483  0.59819171 -0.35836708  0.00004881  0.00002237  0.00004799 -0.23975963  0.59817260 -0.35840479  0.00001508	-0.00105072 -0.00186492 -0.00025186 -0.00066144  0.00150206 -0.00191283 -0.00147896 -0.00031372 -0.00186547  0.00003189  0.00162630  0.00167207	-0.00068651 -0.00121849 -0.00016456 -0.00043217  0.00098141 -0.00124980 -0.00096631 -0.00020498 -0.00121885  0.00002084  0.00106258  0.00109249	 0.00094165 -0.00020502  3.91271514	-0.00000487 -0.00020184  0.00000311	-0.00000318 -0.00013188  0.00000203	-0.00025919  0.00005135 -0.99999997	0.35000000	0.00000000	0.00000000	-0.24567851	0.92231232	-0.85833788	0.13068384	-0.12664637	-0.59804946	0.68563265	0.78677297	-0.66201276	1.47665930	-0.49791411	0.75319356	0.86845422	-0.01939376	1.00552797	-0.89954907	0.09101836	-0.24969083	-0.35826376	0.91252375	-0.47535351	-0.09431474	0.77823603	1.19310379	
0.00801700	  -0.59622162   -1.54298310 -516.49502807    0.57378502   -9.39690407   -0.57877707	  -0.66269824    0.82730612 -505.73882456    0.57148060  -10.36675541    0.58793166	 -3.49969504  -1.37915769 -11.93153138 -38.39148289   0.33867919   1.93347416   1.42625815   1.85569628 -11.99209942 -43.10526212   1.99103170   4.38727748	-0.00002146  0.00005035 -0.23977140  0.59818907 -0.35835888  0.00006370  0.00002150  0.00005184 -0.23976245  0.59817165 -0.35841301  0.00002342	-0.01356361  0.01597116  0.00872443 -0.00752629  0.00429377  0.01956721 -0.00435675  0.02643837 -0.01215984  0.00608736 -0.02518787  0.00236400	-0.00156523  0.00084227  0.00107881 -0.00038067  0.00150137  0.00187294  0.00008668  0.00235044  0.00037331  0.00225095 -0.00287274  0.00071835	 0.00100911 -0.00017377  3.91290598	-0.00006192 -0.00013714  0.00000716	-0.00003179 -0.00016955  0.00000476	-0.00026068  0.00005151 -0.99999996	0.35000000	0.00000000	0.00000000	-0.06909792	0.59327573	-0.74328387	0.26014620	0.11272299	-0.35621756	0.31400889	0.70911658	-0.54279256	1.52137721	-0.57874328	0.53484774	0.70396161	0.07147758	1.20355856	-0.77425563	-0.07324562	-0.41952914	-0.32678431	1.08854651	-0.30327940	-0.05855237	0.65514553	0.83796871	
0.00849700	  -6.55424066   -8.74339585 -524.40489565    1.96449303  -11.31752788   -2.73805705	   0.42699951    6.15764439 -496.11814489    3.04978650  -14.53798703    2.08989401	 -8.73324948  -5.70801100  -8.19234901 -35.40845349  -5.82400339   6.63926739   3.32357436  10.11307447 -16.44310775 -46.44340794 -13.92453057  16.22646955	-0.00001253  0.00004637 -0.23978186  0.59818523 -0.35836566  0.00006430  0.00002337  0.00003750 -0.23975987  0.59816720 -0.35840846  0.00002016	 0.00620612  0.01135045 -0.01655371 -0.01877301 -0.02155401  0.02857365  0.00574516 -0.02325161 -0.00432590 -0.00801958 -0.00098536 -0.00064219	 0.00149673  0.00041337 -0.00237681 -0.00233256 -0.00115382  0.00267372  0.00052889 -0.00274356  0.00028517  0.00047317 -0.00040204 -0.00047194	0.00144706 0.00000543 3.91301850	-0.00029500  0.00054226  0.00001377	-0.00021727  0.00023752  0.00001591	-0.00025976  0.00005299 -0.99999996	0.35000000	0.00000000	0.00000000	0.05960486	0.35754368	-0.64296955	0.34781533	0.13908604	-0.30093119	-0.01339984	0.56213850	-0.37147748	1.33616185	-0.48692891	0.53772193	0.69951361	0.16110486	1.03536522	-0.66441566	-0.12601796	-0.48950028	-0.22290805	1.40869176	-0.35638195	-0.02966012	0.69376338	0.78922838	
0.00849000	 -41.63551833  -12.08683988 -498.33966959    5.03300364  -28.77267930   -6.80640224	  -5.95892363    3.32127702 -464.43715563    7.55750654  -29.94870998    3.30404306	-17.43579078   5.97642182  -5.00595178 -21.34831911 -30.17394821  17.93032334   3.76675978  17.52422100 -25.57402845 -41.33789371 -38.78873519  32.02233079	-0.00001765  0.00005483 -0.23977536  0.59833072 -0.35853884  0.00005005  0.00002569  0.00004585 -0.23976485  0.59830790 -0.35855586  0.00001609	 0.01053238  0.01331473 -0.00169577  0.01696645 -0.07745426 -0.03400415  0.02658962  0.01045163  0.00625422  0.04866185 -0.03290905 -0.01386018	-0.00022903  0.00281050 -0.00010331  0.02295417 -0.03248594 -0.00333610  0.00181413 -0.00037006 -0.00048844  0.02595966 -0.02643964 -0.00238250	0.00650450 0.00065326 3.90780965	-0.00105892 -0.00854911  0.00001860	-0.00079116 -0.00483853  0.00001414	-0.00028345  0.00005846 -0.99999996	0.35000000	0.00000000	0.00000000	0.15372828	0.13044618	-0.68432552	0.43883139	0.05987636	-0.34388438	-0.11641225	0.51671940	-0.24038105	1.07114553	-0.46414724	0.55006444	0.74456775	0.24337198	0.92166805	-0.62245983	-0.15848178	-0.48302704	-0.19639665	1.71434200	-0.37850758	-0.03207304	0.64883697	0.74018168	
0.00849200	 -58.55571340   10.20790970 -549.08527615   10.47352266  -41.95190522  -12.69585025	 -24.38903186    1.51295462 -347.78360942   14.59276096  -40.86272131    8.44187727	-25.54570640  33.63464102 -12.30811554 -26.05897241 -40.79340269  38.10787920   4.94692555  10.62696011 -38.00576479 -18.02578545 -56.09627488  44.50495602	-0.00001771  0.00008987 -0.23978142  0.59911850 -0.35924727  0.00006241  0.00001866  0.00005214 -0.23977636  0.59910196 -0.35929687  0.00024419	-0.01135218  0.01463852  0.00804552  0.16533071 -0.10021440 -0.01526993 -0.02037948 -0.00558838  0.01461941  0.14357099 -0.15127560  0.07486741	 0.00045805  0.00790602 -0.00021595  0.11187784 -0.09715799  0.00019582 -0.00083306  0.00090292 -0.00126644  0.11481080 -0.10733985  0.04056131	 0.01740472 -0.00097705  3.89423922	-0.00964957 -0.03271789  0.00138365	-0.00647803 -0.02499069  0.00054749	-0.00045956  0.00009839 -0.99999989	0.35000000	0.00000000	0.00000000	0.16359906	0.00618911	-0.75068533	0.41228816	0.01346533	-0.39390954	-0.18173434	0.43982890	-0.16196716	0.86152124	-0.43693891	0.56757873	0.77589560	0.23036860	0.79426080	-0.65685290	-0.17957300	-0.49503955	-0.14706525	1.84072220	-0.43677276	-0.03736039	0.59470344	0.70309532	
0.00800200	 -67.96161689   38.43524547 -649.48004653   17.87675525  -55.50342867  -14.39714806	 -13.77614862   -3.15495916 -236.38119410   14.97024586  -30.87628054    4.58658666	-25.70479989  60.57938170 -26.39593372 -44.24650256 -46.27668500  49.51455927  11.39800738   2.68841076 -45.93482290   8.09264299 -46.59238949  41.68878955	-0.00006646  0.00021544 -0.24000472  0.60080573 -0.36061035  0.00026013  0.00001237  0.00004366 -0.24008650  0.60105998 -0.36091778  0.00112026	-0.02019030  0.02291706 -0.05156981  0.28706869 -0.19814391  0.01517208 -0.02802496 -0.00543725 -0.10348200  0.35386304 -0.25222424  0.15928246	-0.00632706  0.01774356 -0.03593424  0.23131482 -0.18104243  0.02953135 -0.00251986 -0.00060919 -0.05146477  0.27455454 -0.22022195  0.12621894	 0.02479747 -0.00542925  3.88014741	-0.02208768 -0.03897777  0.01027409	-0.01774395 -0.03764791  0.00723433	-0.00076263  0.00022584 -0.99999968	0.35000000	0.00000000	0.00000000	0.18822049	-0.01519347	-0.83492500	0.35873678	0.00391707	-0.39127097	-0.20419866	0.35747397	-0.09375380	0.71112055	-0.38990203	0.57833409	0.78691214	0.21152313	0.71057779	-0.65034825	-0.21212557	-0.49503565	-0.11850087	1.87805772	-0.47623214	-0.03783708	0.51882285	0.67685348	
0.00801000	 -65.67794518   47.35542321 -768.48383677   24.78903078  -60.81522855  -13.40341697	  -9.01576976   -2.11709083 -153.31202541   10.17616051  -21.59479190    1.60554674	-24.57271470  73.74836159 -33.31663664 -67.82923286 -42.54973117  55.74015194  10.88785028  -8.98578849 -38.71048133  18.46621111 -37.66038537  35.31851643	-0.00019884  0.00041564 -0.24061231  0.60339146 -0.36250895  0.00072810  0.00002716  0.00003940 -0.24103045  0.60451834 -0.36345881  0.00279974	-0.01612532  0.03260560 -0.08263093  0.33129072 -0.25976014  0.03362728  0.02987003 -0.01684877 -0.14900906  0.47385465 -0.32662579  0.21873861	-0.01756495  0.02668123 -0.08274158  0.33241939 -0.24302744  0.05825424  0.00279252 -0.00210656 -0.12824375  0.45462978 -0.32801920  0.21942434	 0.03054175 -0.01144806  3.87017349	-0.03098825 -0.03496787  0.02195379	-0.02819249 -0.03625926  0.01796912	-0.00105975  0.00044342 -0.99999934	0.35000000	0.00000000	0.00000000	0.20016709	-0.04672093	-0.88377184	0.33973315	0.01993818	-0.38758051	-0.20196043	0.28857648	-0.04908644	0.64183682	-0.34937879	0.57769132	0.79886395	0.18137828	0.63250256	-0.64620030	-0.20492595	-0.48506495	-0.10225955	1.88807285	-0.49478802	-0.04885938	0.45425779	0.65569818	
0.00847200	 -67.51450079   49.92499831 -855.32620727   29.53059916  -63.72774025  -12.82649443	  0.72730998  -0.78399049 -76.75402324   5.20595779 -11.39542996   0.63069084	-23.89639221  80.55649281 -35.77364139 -79.01919997 -40.77807435  59.56784379   7.32872601 -14.68313479 -37.93193172  28.25013131 -28.09513628  30.60172135	-0.00043839  0.00068020 -0.24167580  0.60689230 -0.36488710  0.00132971  0.00001817 -0.00000799 -0.24278157  0.60968528 -0.36698103  0.00534228	-0.03366966  0.02415420 -0.18854380  0.45890388 -0.33144253  0.06689833  0.00970770 -0.00740407 -0.25281737  0.68345814 -0.45137584  0.37668952	-0.03100824  0.02968248 -0.13661417  0.42493924 -0.28930193  0.06928308  0.00025408 -0.00958200 -0.22095771  0.63638108 -0.42724148  0.31587890	 0.03493586 -0.01661804  3.86129754	-0.02828023 -0.02504734  0.03149339	-0.02945613 -0.02819455  0.02853642	-0.00131435  0.00070201 -0.99999889	0.35000000	0.00000000	0.00000000	0.25293660	-0.06946661	-0.89977866	0.30711165	0.05327630	-0.33895841	-0.19205619	0.23685208	-0.02375822	0.61205518	-0.28729242	0.54980820	0.79940468	0.18983886	0.58832181	-0.63878298	-0.23886222	-0.51133525	-0.09211099	1.87270999	-0.53195304	-0.05228387	0.40982145	0.64130348	
0.00853000	 -73.89904783   53.27232705 -953.55938249   34.16619975  -68.70721988  -10.66186414	 10.67871894  -6.31224248 -16.47266777   1.19739378  -2.63880978   1.51875604	-20.57596229  88.64416838 -29.78806216 -99.02222291 -39.09134531  63.89150089   9.82418731 -20.52471954 -32.96266815  26.39018609 -16.32224657  22.86593351	-0.00069252  0.00089003 -0.24302662  0.61097434 -0.36751715  0.00189640  0.00002496 -0.00024780 -0.24516425  0.61611571 -0.37106805  0.00844329	-0.01692608  0.00563848 -0.14917955  0.45119289 -0.28792510  0.06894576  0.00374033 -0.05931584 -0.26783918  0.72919355 -0.42856955  0.32543747	-0.02940471  0.02008855 -0.15820519  0.47980522 -0.30946813  0.06238496  0.00230896 -0.03423012 -0.28373476  0.76341965 -0.47981592  0.36485807	 0.04027027 -0.01894802  3.85532609	-0.01219934 -0.02346368  0.02768615	-0.01759920 -0.02365107  0.02925571	-0.00151356  0.00087919 -0.99999847	0.35000000	0.00000000	0.00000000	0.26971817	-0.06390744	-0.92114985	0.29379702	0.08692342	-0.33749419	-0.19772552	0.21151832	-0.01330345	0.59065092	-0.23383978	0.52784002	0.80667663	0.16841069	0.53656590	-0.66004938	-0.24129099	-0.47043163	-0.09472784	1.89298344	-0.54415327	-0.07258365	0.38281056	0.62015802	
0.00849500	 -72.56795160   54.20309997 -957.16715986   38.90848295  -70.44007175  -11.97463588	 6.72462461 -1.75338121 -3.99444836  0.41356608 -0.80753487  0.52258711	-22.94109625  95.38953996 -36.87351418 -96.77416018 -42.80554327  66.89903843   8.31017465 -18.59999442 -32.49172323  33.30421579 -14.36846298  25.13678071	-0.00093627  0.00103183 -0.24454853  0.61540691 -0.37034695  0.00222837  0.00001270 -0.00066769 -0.24806312  0.62349890 -0.37545424  0.01192876	-0.02747248  0.00185283 -0.18898107  0.52236364 -0.34110521  0.00615177 -0.00466340 -0.06921685 -0.33353740  0.87092824 -0.50592138  0.40565569	-0.02998663  0.01522511 -0.18444828  0.53139162 -0.33672429  0.03318069 -0.00186021 -0.05306261 -0.34874965  0.88405603 -0.51804247  0.41838437	 0.04468264 -0.02255784  3.84905886	-0.00198935 -0.01929490  0.02962384	-0.00500819 -0.02063441  0.02886580	-0.00169624  0.00093293 -0.99999813	0.35000000	0.00000000	0.00000000	0.31104591	-0.08871099	-0.93256545	0.29365486	0.09709802	-0.32354486	-0.20912038	0.16415763	-0.00588747	0.57542050	-0.20351946	0.49962860	0.79560935	0.18681362	0.52751672	-0.65073293	-0.27541608	-0.48786235	-0.09235927	1.89976466	-0.54249591	-0.08184887	0.35251704	0.59613329	
