time	LF_FT_fx	LF_FT_fy	LF_FT_fz	LF_FT_tx	LF_FT_ty	LF_FT_tz	RF_FT_fx	RF_FT_fy	RF_FT_fz	RF_FT_tx	RF_FT_ty	RF_FT_tz	torque_des_0	torque_des_1	torque_des_2	torque_des_3	torque_des_4	torque_des_5	torque_des_6	torque_des_7	torque_des_8	torque_des_9	torque_des_10	torque_des_11	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	qdot_0	qdot_1	qdot_2	qdot_3	qdot_4	qdot_5	qdot_6	qdot_7	qdot_8	qdot_9	qdot_10	qdot_11	qdot_lpf_0	qdot_lpf_1	qdot_lpf_2	qdot_lpf_3	qdot_lpf_4	qdot_lpf_5	qdot_lpf_6	qdot_lpf_7	qdot_lpf_8	qdot_lpf_9	qdot_lpf_10	qdot_lpf_11	base_lin_vel_x	base_lin_vel_y	base_lin_vel_z	base_lin_vel_lpf_x	base_lin_vel_lpf_y	base_lin_vel_lpf_z	base_ang_vel_x	base_ang_vel_y	base_ang_vel_z	base_ang_vel_lpf_x	base_ang_vel_lpf_y	base_ang_vel_lpf_z	projected_grav_x	projected_grav_y	projected_grav_z	cmd_x	cmd_y	cmd_yaw	input_0	input_1	input_2	input_3	input_4	input_5	input_6	input_7	input_8	input_9	input_10	input_11	input_12	input_13	input_14	input_15	input_16	input_17	input_18	input_19	input_20	input_21	input_22	input_23	input_24	input_25	input_26	input_27	input_28	input_29	input_30	input_31	input_32	input_33	input_34	input_35	input_36	input_37	input_38	input_39	input_40	input_41	input_42	input_43	input_44	input_45	input_46	input_47	input_48	action_0	action_1	action_2	action_3	action_4	action_5	action_6	action_7	action_8	action_9	action_10	action_11	
0.00800000	   0.19195714   -0.05562558 -469.04497173    0.02900388   -8.16695758    0.01950231	  -0.19196715    0.05563216 -468.99038015   -0.03040715   -8.40107078    0.01984039	 -0.00002286   0.04033885 -13.14848664 -41.61315367   6.32628131   0.00260533  -0.00003950  -0.03354708 -13.14886371 -41.60530925   6.32612224   0.00293416	-0.00004666  0.00000903 -0.23963898  0.59358060 -0.35440071  0.00000395 -0.00002155 -0.00000425 -0.23963494  0.59358013 -0.35441216 -0.00000099	 0.00139929  0.00115301 -0.00017099 -0.00081429  0.00166499 -0.00039952 -0.00096130  0.00072424  0.00121230 -0.00157968  0.00077275  0.00047441	 0.00091426  0.00075335 -0.00011172 -0.00053204  0.00108786 -0.00026104 -0.00062809  0.00047320  0.00079208 -0.00103212  0.00050490  0.00030997	-0.00003422 -0.00000093 -0.00001783	-0.00000687 -0.00000019 -0.00000358	-0.00000050 -0.00013627  0.00001320	-0.00000010 -0.00002737  0.00000265	 0.00022580  0.00000313 -0.99999997	0.35000000	0.00000000	0.00000000	-0.00000032	-0.00512952	0.00000415	0.06686859	0.00007437	-0.23023437	0.24562582	-0.00000000	0.00000000	-0.08136787	-0.30524787	0.20264755	-0.73590183	0.63870454	0.05787861	0.08143670	0.30528396	0.20257920	-0.73584765	0.63873303	-0.05788995	-0.00282791	-0.00890488	0.00440249	-0.00865799	0.01325521	0.00899324	0.00306992	0.01089190	0.00514176	-0.00899846	0.01279535	-0.00895826	1.40997839	-0.00022952	0.01861984	-0.31962544	0.11033235	0.50221020	-0.09991301	-0.19114533	-0.01862002	0.31962419	0.11033404	0.50221038	-0.09991269	0.19114468	-0.52894348	-0.00000100	-0.52900422	-0.29812142	-0.03741404	0.14893603	-0.20505580	0.32373449	-0.42133230	0.13440391	-0.02087605	0.20502602	-0.38177246	0.61899543	
0.00846300	  -0.14257844   -0.58709359 -469.72150305    0.18690911   -8.26841464   -0.11199428	   0.04476751    0.41048336 -467.98295454    0.20717107   -8.39185999    0.00571833	 -3.20109972  -1.21721671 -13.08836422 -40.07482608   5.38410884   0.97909757  -2.54957848   0.53368356 -13.00969730 -39.77256274   4.67106147   1.87007002	-0.00005222  0.00000633 -0.23964800  0.59359288 -0.35440476  0.00000257 -0.00003636  0.00000928 -0.23962961  0.59358357 -0.35440813  0.00000046	 0.00830965  0.01842270  0.01302493  0.01650796  0.00307849  0.01470742 -0.02791820  0.01792693  0.00720095  0.00491588  0.00229746  0.01020572	-0.00077411  0.00175850 -0.00058413  0.00132240 -0.00185955 -0.00026648 -0.00293096  0.00299068 -0.00048711  0.00139660  0.00229975 -0.00005430	-0.00002759  0.00000293 -0.00003619	-0.00001548 -0.00000016 -0.00001031	-0.00002226 -0.00013932  0.00007791	-0.00000247 -0.00006551  0.00001312	 0.00022462  0.00000318 -0.99999997	0.35000000	0.00000000	0.00000000	-0.00000785	-0.00523787	0.00002054	0.06830810	0.00010422	-0.23023437	0.24562582	-0.00000000	0.00000000	-0.08141019	-0.30527732	0.20260552	-0.73584956	0.63868523	0.05787007	0.08132396	0.30543157	0.20260406	-0.73583299	0.63875222	-0.05788099	-0.00425588	-0.00727653	0.00401609	-0.00739533	0.01092990	0.00898935	0.00112223	0.01497020	0.00409546	-0.00734479	0.01421138	-0.00921833	1.40928268	0.04427612	-1.58834088	-0.92719573	0.03699191	0.81891447	-0.50416076	0.50509131	-1.29851711	0.59353775	0.06941138	0.93818712	-0.85253799	1.52237678	-0.52896750	-0.00000086	-0.26939476	0.08155319	0.13558753	-0.12004176	-0.20344767	0.40214550	-0.21047017	-0.01487434	-0.20107673	0.01984297	-0.37409028	0.47312501	
0.00803000	  -2.84309432    0.00603850 -475.96911004    1.02096866   -9.18455795   -0.45612707	   1.60800638   -0.61872747 -461.32597493    1.20012593   -8.81195551   -0.08773473	 -6.12871988   1.33018204  -9.81402317 -41.14031921   2.80847584   4.56307161  -4.78820808  -0.26701008 -15.86343118 -38.37114189   0.22026154   5.36834105	-0.00004495 -0.00000078 -0.23965053  0.59358654 -0.35440007  0.00000807 -0.00003598  0.00000224 -0.23961644  0.59358205 -0.35441215  0.00000558	 0.01526125 -0.01424412 -0.00331391 -0.02518358  0.00100431  0.02178755 -0.00448910  0.00708543  0.02286618 -0.00478404  0.01842615  0.02084342	 0.00245749 -0.00128400 -0.00072377 -0.00181057  0.00044188  0.00099847 -0.00196174  0.00092807  0.00284704  0.00086835  0.00201630  0.00148298	 0.00005561  0.00003877 -0.00008280	-0.00000753  0.00000605 -0.00002670	-0.00009234 -0.00002254  0.00018462	-0.00002107 -0.00007274  0.00005455	 0.00022389  0.00000363 -0.99999997	0.35000000	0.00000000	0.00000000	-0.00006699	-0.00525842	0.00008544	0.06832017	0.00011600	-0.23023437	0.24562582	-0.00000000	0.00000000	-0.08135482	-0.30535492	0.20259376	-0.73587656	0.63870758	0.05790405	0.08132683	0.30535480	0.20266540	-0.73583943	0.63873303	-0.05784932	-0.00152270	-0.01220538	0.00390187	-0.00952853	0.01274558	0.00989247	0.00194196	0.01162880	0.00682259	-0.00770447	0.01398775	-0.00812079	1.40719640	0.08873784	-0.79972291	-0.15342034	0.37611631	0.24694805	-0.50099051	0.67372525	-0.65797323	0.28931046	-0.28383037	0.54440540	-0.83739334	1.20866299	-0.52894533	0.00003266	-0.27344117	0.16867375	0.07255651	-0.10746422	-0.24535218	0.51495826	-0.23216262	-0.16546734	-0.15058298	0.14935865	-0.39375407	0.55850530	
0.00800600	  -4.92987709    3.08331915 -488.84755220    2.97543180  -10.69486527   -1.03155079	   1.97836828   -5.13188477 -447.00499789    3.67316064   -9.05468330   -0.06997379	-13.18210609   5.69965046  -8.48245400 -40.08497153  -2.47488179  12.37753987 -11.19215915  -5.58614979 -16.97865359 -29.33323443  -7.24446918  13.42432945	-0.00004708  0.00000053 -0.23964558  0.59359699 -0.35440568  0.00000040 -0.00002128  0.00000712 -0.23962578  0.59357596 -0.35441318  0.00000497	 0.02690390 -0.01559927  0.00110581  0.01652554  0.00099315 -0.00498981  0.02979687  0.01224511 -0.00067750 -0.02186540  0.01829568  0.01531533	 0.00136796 -0.00029022 -0.00041185  0.00228785 -0.00064635 -0.00214476  0.00387904  0.00217923  0.00000344 -0.00090772  0.00186873  0.00143973	 0.00029096  0.00016021 -0.00024211	 0.00005033  0.00004094 -0.00007054	-0.00027750  0.00017240  0.00067020	-0.00007363 -0.00001379  0.00012892	 0.00022468  0.00000503 -0.99999997	0.35000000	0.00000000	0.00000000	-0.00023406	-0.00509092	0.00020194	0.06832998	0.00015287	-0.23023437	0.24562582	-0.00000000	0.00000000	-0.08137108	-0.30534065	0.20261680	-0.73583210	0.63868088	0.05785664	0.08143875	0.30540806	0.20262191	-0.73586541	0.63872814	-0.05785314	-0.00244418	-0.01059547	0.00415701	-0.00673797	0.01188703	0.00764834	0.00688188	0.01365566	0.00449670	-0.00891376	0.01387133	-0.00815167	1.40372157	0.13311175	-0.81201476	0.02413103	0.25256044	0.27369347	-0.58360124	0.91634494	-0.72386926	-0.01759626	-0.18484907	0.81981337	-0.87615848	1.39228463	-0.52878416	0.00022114	-0.23538241	0.27685320	0.09173737	-0.19169340	-0.26759902	0.55583221	-0.21257314	-0.19754414	-0.12313747	0.18061110	-0.36038530	0.54901439	
0.00849700	  -7.68259443   14.29861302 -553.18789992    5.71550808  -15.23180651   -4.73481924	  -2.66397569   -9.54820562 -374.45830792    6.90772174  -11.11955308   -3.36403160	-19.41988443  15.94383914  -3.91319695 -45.02880696  -9.95967302  22.86214889 -17.53805309 -11.38005315 -17.91481261 -18.36511566 -15.06325333  22.58199401	-0.00009637 -0.00000689 -0.23964028  0.59360206 -0.35441077  0.00000837 -0.00008967 -0.00000068 -0.23962416  0.59361530 -0.35446603 -0.00000088	 0.01896863  0.00187943  0.02319545  0.00514505 -0.03544754  0.00782263 -0.02646287  0.00983923  0.01669705 -0.01845184  0.00173913  0.01053625	-0.00585333 -0.00186449  0.00178839  0.00272710 -0.00391833  0.00067769 -0.01126891  0.00081817  0.00029915  0.00457347 -0.00705334 -0.00017700	 0.00128472 -0.00129060 -0.00114610	 0.00028483 -0.00011603 -0.00026610	-0.00034877 -0.00057793  0.01447099	-0.00017362 -0.00004541  0.00237351	 0.00022400  0.00000810 -0.99999997	0.35000000	0.00000000	0.00000000	-0.00055193	-0.00518077	0.00371773	0.06833334	0.00024539	-0.23023437	0.24562582	-0.00000000	0.00000000	-0.08174631	-0.30542156	0.20264150	-0.73581046	0.63865662	0.05790594	0.08091801	0.30532297	0.20262945	-0.73569793	0.63847649	-0.05788929	-0.00855171	-0.01314578	0.00595667	-0.00643889	0.00930566	0.00966345	-0.00592969	0.01145076	0.00473857	-0.00518171	0.00683239	-0.00930594	1.39886153	0.17735408	-0.69640332	0.24460033	0.29015952	0.09458480	-0.62745869	1.00425017	-0.66436154	-0.08296841	-0.13104850	0.88627011	-0.81037539	1.37187326	-0.52813077	-0.00062674	-0.22753568	0.31198210	0.06258585	-0.20622431	-0.28986692	0.59336638	-0.19110727	-0.24543054	-0.10845494	0.23668019	-0.34576878	0.55608374	
0.00801200	 -22.66733630   28.97111155 -614.66383965    8.30720611  -24.78221545   -9.91488540	  -9.54354707  -19.16339738 -281.78758292   10.09583136  -13.90948276   -6.65248649	-27.17477569  25.98497223  -2.52934686 -48.06373182 -19.02199847  35.32836675 -22.82411375 -20.44305997 -18.66304477  -2.15159332 -23.47303483  33.10891587	-0.00035360 -0.00000797 -0.23963411  0.59367511 -0.35448912 -0.00000085 -0.00032823 -0.00000546 -0.23962059  0.59388226 -0.35473178  0.00000585	-0.04288341 -0.00009899  0.02077608  0.02503924 -0.02640703 -0.00601408 -0.03228370  0.01845781  0.02218815  0.07827446 -0.02907661 -0.00238200	-0.03667008 -0.00196090  0.00296535  0.01376434 -0.01395118 -0.00201046 -0.03633489 -0.00061082  0.00184458  0.04196408 -0.03724941  0.00165776	 0.00512724 -0.00472875 -0.00546586	 0.00123805 -0.00108006 -0.00123146	 0.00365857 -0.00894982  0.05095693	 0.00028637 -0.00152299  0.01210729	 0.00019013 -0.00000054 -0.99999998	0.35000000	0.00000000	0.00000000	0.00091038	-0.00937862	0.01896412	0.06782469	0.00012491	-0.23023437	0.24562582	-0.00000000	0.00000000	-0.08370481	-0.30543339	0.20267023	-0.73549956	0.63828361	0.05784892	0.07910167	0.30527076	0.20264608	-0.73456156	0.63721132	-0.05784769	-0.03461550	-0.01330195	0.00691935	0.00107621	0.00139040	0.00774422	-0.02712954	0.00913579	0.00600264	0.02027691	-0.01699036	-0.00799601	1.39262116	0.22142117	-0.67256725	0.31619287	0.23301557	0.06368561	-0.67135775	1.08497262	-0.59915382	-0.18056032	-0.10226677	1.00549793	-0.78156042	1.38707685	-0.52547514	-0.00583407	-0.21375233	0.34176448	0.06090171	-0.22683348	-0.29907021	0.61606991	-0.17448820	-0.26095805	-0.09442270	0.24847700	-0.32859620	0.55850524	
0.00846700	 -40.54441510   41.36601331 -653.74736883   13.81788395  -36.86342210  -13.53547651	 -15.85814684  -29.20559636 -220.84410843   17.33222186  -15.39801310   -8.50247856	-34.52862769  38.48340186   0.99952953 -53.22709031 -28.94954218  49.61053515 -28.18608090 -29.38584069 -18.81682659  13.41147416 -32.12929080  44.97529364	-0.00111484 -0.00015106 -0.23962613  0.59406036 -0.35481107  0.00010443 -0.00110852 -0.00018031 -0.23962944  0.59472815 -0.35551516  0.00032703	-0.10630566 -0.04863490  0.00292982  0.08035664 -0.06479223  0.05697570 -0.13615951 -0.03795090 -0.01067954  0.16118202 -0.13969944  0.09908798	-0.10314241 -0.02300446  0.00337494  0.05315560 -0.04407698  0.01996350 -0.10732933 -0.02395884 -0.00149966  0.11720449 -0.10490915  0.05314172	 0.01281272 -0.01108016 -0.01397462	 0.00394246 -0.00345243 -0.00426691	 0.01537033 -0.02795497  0.13640836	 0.00362106 -0.00740034  0.04029454	 0.00003738 -0.00008197 -1.00000000	0.35000000	0.00000000	0.00000000	0.01151135	-0.02607636	0.06311490	0.06503997	-0.00189278	-0.23023437	0.24562582	-0.00000000	0.00000000	-0.08950070	-0.30699518	0.20270735	-0.73385966	0.63675082	0.05850000	0.07316083	0.30336237	0.20260483	-0.73096102	0.63348180	-0.05586141	-0.09083558	-0.04739253	0.00725436	0.02789717	-0.02237685	0.02343266	-0.08717393	-0.02868793	0.00326725	0.07150681	-0.07036955	0.02876106	1.38500655	0.26526949	-0.63069749	0.37688926	0.22971426	0.01986135	-0.68950117	1.13379979	-0.54866946	-0.21220519	-0.07475982	1.03058314	-0.74770641	1.39228451	-0.51794058	-0.01864876	-0.19355826	0.36855224	0.04824359	-0.24113846	-0.30174878	0.63170850	-0.15185465	-0.26946783	-0.09465349	0.25859460	-0.30634645	0.55032837	
0.00802500	 -54.79580998   42.47123874 -666.55340346   26.44861308  -48.13020264  -16.84372510	 -25.83307797  -26.36298715 -219.19289426   18.88250438  -17.60155191   -9.93736232	-38.92351739  51.65084669   2.45388374 -58.56781478 -37.94743477  63.32685519 -30.53715562 -37.76624290 -20.24152554  28.65044771 -38.56387450  55.16900811	-0.00264728 -0.00046782 -0.23956394  0.59475437 -0.35538553  0.00048344 -0.00262878 -0.00070525 -0.23968134  0.59663837 -0.35712036  0.00176701	-0.21045821 -0.07255913  0.02865451  0.08791135 -0.06771707  0.04933891 -0.21042507 -0.08531560  0.00241524  0.31097565 -0.21814969  0.27034842	-0.20223323 -0.04402574  0.01233541  0.09349734 -0.07494807  0.05387258 -0.20334928 -0.07226671 -0.00933082  0.26382752 -0.21554703  0.21248466	 0.02343684 -0.01832142 -0.02268932	 0.00875035 -0.00727292 -0.00907125	 0.02504206 -0.05575289  0.24311531	 0.00933165 -0.01908904  0.09105728	-0.00029900 -0.00024719 -0.99999992	0.35000000	0.00000000	0.00000000	0.02966535	-0.05928431	0.14262655	0.05838253	-0.00673038	-0.23023073	0.24562582	-0.00000000	0.00000000	-0.10116821	-0.31045237	0.20299697	-0.73090559	0.63401598	0.06084395	0.06158604	0.29763293	0.20236318	-0.72283000	0.62583959	-0.04695602	-0.17464329	-0.08144701	0.01458348	0.05536531	-0.04673209	0.04764223	-0.16838397	-0.10694652	-0.00313816	0.17133988	-0.15765570	0.14252424	1.37602544	0.30885580	-0.56935376	0.43148261	0.20490132	-0.01055740	-0.69478172	1.16743279	-0.47991464	-0.22954802	-0.07521224	1.05209780	-0.70384330	1.37469912	-0.50454569	-0.03928569	-0.16682339	0.39680803	0.03619482	-0.25506523	-0.30541626	0.64621222	-0.13092105	-0.26895720	-0.10560051	0.26180723	-0.27667180	0.50681245	
0.00845400	 -68.89929390   44.60028808 -700.68383408   40.27176152  -59.19987231  -19.74793777	 -30.86608281  -20.72297736 -197.06388457   17.55315829  -18.00200578  -11.51276311	-40.26769926  66.74154287   3.28249468 -64.88174346 -47.40681991  77.75759837 -31.60162723 -45.23924553 -23.74930335  43.39756595 -42.78132096  60.98411072	-0.00518493 -0.00102951 -0.23934921  0.59587753 -0.35636564  0.00132412 -0.00517783 -0.00184702 -0.24005565  0.60048645 -0.36011329  0.00573782	-0.35885810 -0.12249728  0.02701250  0.15301564 -0.15791564  0.13422161 -0.38228860 -0.16672627 -0.06347452  0.63900265 -0.44431131  0.68375926	-0.31496767 -0.07378887  0.02914771  0.13976192 -0.12383840  0.10937091 -0.31766673 -0.14779111 -0.05244754  0.50211861 -0.38170829  0.53055676	 0.03680102 -0.02412740 -0.03203515	 0.01629956 -0.01220837 -0.01553586	 0.03337909 -0.09053842  0.34656957	 0.01636236 -0.03820056  0.16313321	-0.00092609 -0.00049694 -0.99999945	0.35000000	0.00000000	0.00000000	0.05201599	-0.11358071	0.25552189	0.04541871	-0.01443581	-0.23020892	0.24562582	-0.00000000	0.00000000	-0.12048917	-0.31658292	0.20399694	-0.72612476	0.62934983	0.06604297	0.04217827	0.28517133	0.20062006	-0.70645046	0.61159068	-0.02239918	-0.26999032	-0.12966329	0.02833490	0.08686621	-0.08530332	0.08726559	-0.26506934	-0.22929585	-0.03840502	0.33358815	-0.28874624	0.36961243	1.36568642	0.35213709	-0.48814100	0.48906779	0.18128283	-0.04017192	-0.70201176	1.19862497	-0.41632387	-0.22850737	-0.09667134	1.05892920	-0.64534277	1.28111231	-0.48351341	-0.06594516	-0.13650550	0.43476722	0.01751285	-0.27512270	-0.30394530	0.65981215	-0.10958111	-0.26728565	-0.12316488	0.26351428	-0.24202123	0.39962646	
0.00802300	 -82.15091191   47.64720219 -755.77437580   53.58524096  -69.83128745  -21.49440838	 -23.48817335  -18.97591850 -136.72301143   12.87750046  -12.13768806   -9.38451970	-37.57379805  83.38191751   1.52711346 -72.93872652 -54.67790175  90.53598572 -30.16273425 -51.26294777 -29.05536831  55.73482008 -43.31466427  54.83489634	-0.00820649 -0.00174673 -0.23897738  0.59738679 -0.35771185  0.00249797 -0.00831284 -0.00362308 -0.24090628  0.60630509 -0.36439546  0.01232845	-0.41840920 -0.09645625  0.06641658  0.21211779 -0.21941535  0.16043049 -0.46068067 -0.27601691 -0.15077560  0.93694021 -0.66906003  1.03398263	-0.38414767 -0.09352895  0.04976455  0.19567668 -0.17802922  0.15419615 -0.40130182 -0.23510434 -0.11764388  0.77052016 -0.56219135  0.87112698	 0.04926693 -0.02491561 -0.04159782	 0.02533437 -0.01634278 -0.02269819	 0.04133163 -0.12132220  0.39942545	 0.02340034 -0.06110641  0.23380186	-0.00178390 -0.00079316 -0.99999809	0.35000000	0.00000000	0.00000000	0.07438974	-0.17865692	0.36621293	0.02692251	-0.02380292	-0.23014346	0.24562582	-0.00000000	0.00000000	-0.14349443	-0.32441106	0.20572847	-0.71970046	0.62294066	0.07330249	0.01830929	0.26578686	0.19665883	-0.68168300	0.59120387	0.01835958	-0.32850048	-0.16164222	0.04519821	0.12493780	-0.12805629	0.11926883	-0.33580473	-0.37074298	-0.09173167	0.51633811	-0.43113574	0.61276317	1.35399973	0.39507064	-0.39604411	0.56642842	0.14466174	-0.08282302	-0.69911194	1.22787356	-0.35149875	-0.22510076	-0.13110222	1.06255913	-0.57703274	1.05059457	-0.45834222	-0.08827771	-0.11520846	0.47246298	-0.00533120	-0.30502269	-0.30292952	0.67610508	-0.08526315	-0.26328409	-0.14068314	0.27759275	-0.21149367	0.25688648	
