time	LF_FT_fx	LF_FT_fy	LF_FT_fz	LF_FT_tx	LF_FT_ty	LF_FT_tz	RF_FT_fx	RF_FT_fy	RF_FT_fz	RF_FT_tx	RF_FT_ty	RF_FT_tz	torque_des_0	torque_des_1	torque_des_2	torque_des_3	torque_des_4	torque_des_5	torque_des_6	torque_des_7	torque_des_8	torque_des_9	torque_des_10	torque_des_11	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	qdot_0	qdot_1	qdot_2	qdot_3	qdot_4	qdot_5	qdot_6	qdot_7	qdot_8	qdot_9	qdot_10	qdot_11	qdot_lpf_0	qdot_lpf_1	qdot_lpf_2	qdot_lpf_3	qdot_lpf_4	qdot_lpf_5	qdot_lpf_6	qdot_lpf_7	qdot_lpf_8	qdot_lpf_9	qdot_lpf_10	qdot_lpf_11	base_lin_vel_x	base_lin_vel_y	base_lin_vel_z	base_ang_vel_x	base_ang_vel_y	base_ang_vel_z	base_ang_vel_lpf_x	base_ang_vel_lpf_y	base_ang_vel_lpf_z	projected_grav_x	projected_grav_y	projected_grav_z	cmd_x	cmd_y	cmd_yaw	action_0	action_1	action_2	action_3	action_4	action_5	action_6	action_7	action_8	action_9	action_10	action_11	
0.00800000	   0.73753323   -0.02009698 -468.52347491   -0.04677312   -7.78835571    0.07775473	  -0.73747711    0.02026319 -469.51186220   -0.06476049   -8.70411413    0.07330018	 -0.00005315   0.04246410 -13.13698079 -41.60649475   6.36310513   0.00338739  -0.00007633  -0.03189138 -13.13847732 -41.58801155   6.36481473   0.00345516	-0.00005295  0.00000795 -0.23976045  0.59384194 -0.35460016  0.00001003 -0.00005289  0.00000252 -0.23967060  0.59371047 -0.35462111  0.00000860	 0.00072160  0.00023347  0.00107326  0.00028727 -0.00043886 -0.00122343  0.00004198 -0.00054944 -0.00042443 -0.00160706 -0.00168079  0.00109998	 0.00047148  0.00015254  0.00070124  0.00018769 -0.00028674 -0.00079936  0.00002743 -0.00035899 -0.00027731 -0.00105001 -0.00109818  0.00071870	-0.00126870 -0.00002331  3.91652998	-0.00001949 -0.00018272  0.00006039	-0.00000392 -0.00003670  0.00001213	 0.00031202  0.00000652 -0.99999995	0.35000000	0.00000000	0.00000000	-0.09419721	0.05723386	0.51469886	0.01521211	-0.59188229	0.19373190	-0.12819375	-0.10747921	0.19457823	-0.09293058	-0.40045333	0.54514849	
0.00904500	   0.74029577   -0.02045921 -468.52271637   -0.04668893   -7.78671349    0.07804039	  -0.74013032    0.02061050 -469.51258807   -0.06505331   -8.70604253    0.07357341	 -0.00005315   0.04246410 -13.13698079 -41.60649475   6.36310513   0.00338739  -0.00007633  -0.03189138 -13.13847732 -41.58801155   6.36481473   0.00345516	-0.00005331 -0.00000593 -0.23975239  0.59384486 -0.35460520  0.00000533 -0.00005326 -0.00001094 -0.23966725  0.59372471 -0.35462237  0.00000042	-0.00003992 -0.00153427  0.00089106  0.00032232 -0.00055755 -0.00051983 -0.00004084 -0.00148774  0.00036940  0.00157401 -0.00013847 -0.00090465	 0.00007605 -0.00115176  0.00084801  0.00029180 -0.00049614 -0.00058322 -0.00002536 -0.00123178  0.00022275  0.00097898 -0.00035609 -0.00053654	-0.00126203 -0.00002402  3.91669557	-0.00001951 -0.00018278  0.00006056	-0.00000879 -0.00008236  0.00002726	 0.00031038  0.00000669 -0.99999995	0.35000000	0.00000000	0.00000000	-0.00746839	0.20617160	-0.07204559	-0.17167714	-0.05462469	0.29172167	0.02268931	-0.14756261	-0.07628183	-0.07042699	-0.26897922	0.44821724	
0.00848700	   0.63829574    1.51135002 -473.58194791    0.69241496   -8.03603371    0.00885387	  -1.63329296   -2.37650941 -463.95033113    1.32822619   -9.60451113    0.26622257	 -0.19167495   3.72472285 -13.58472989 -42.22354151   4.93843243   3.73442480   0.58209795  -2.66726838 -13.67195708 -39.95184502   1.27336548   5.73616131	-0.00005884 -0.00000058 -0.23975646  0.59383959 -0.35460361  0.00000720 -0.00005816 -0.00000038 -0.23966002  0.59370511 -0.35462399 -0.00000522	-0.01459846 -0.00213873  0.01303208  0.00409237 -0.02147725  0.02532292 -0.02060863  0.00981681  0.00015875 -0.01960626 -0.01884091 -0.00889563	 0.00002693  0.00060130  0.00101996  0.00152016 -0.00131679  0.00204331 -0.00183740  0.00053882  0.00131434 -0.00384872 -0.00225916 -0.00156413	-0.00118633  0.00003223  3.91681708	-0.00011430 -0.00010156  0.00003003	-0.00002699 -0.00010591  0.00003386	 0.00030907  0.00000718 -0.99999995	0.35000000	0.00000000	0.00000000	0.02313212	0.32513818	0.01589357	-0.21936870	-0.17863287	0.38632134	-0.01518239	-0.24953695	0.00343052	0.12167941	-0.27474317	0.45734942	
0.00847800	   1.66868308    7.56133771 -487.72539215    2.25530348   -9.34362701    0.76963140	  -3.97353305   -9.17871480 -448.40869691    3.64903745   -9.73288781   -0.14816347	  1.24988761  12.27561271 -10.32702651 -45.14243708  -1.10429991  10.40883313  -0.82043644  -9.42069774 -10.86015199 -29.13357024  -4.56504859  12.32211043	-0.00006768  0.00000264 -0.23975914  0.59384237 -0.35460806  0.00000349 -0.00005179 -0.00000632 -0.23966867  0.59370769 -0.35461990 -0.00000677	 0.00169645  0.02049079  0.00263735  0.02069010 -0.01181054  0.00671864  0.01858765  0.00699397 -0.00532496 -0.03365774  0.01293379 -0.00731204	-0.00173229  0.00179551 -0.00081699  0.00210260 -0.00286323  0.00132339 -0.00002407 -0.00103751 -0.00137377 -0.00261555 -0.00094125 -0.00260481	-0.00098968  0.00016250  3.91681941	-0.00026825  0.00009467  0.00001444	-0.00008491 -0.00007073  0.00002891	 0.00030899  0.00000881 -0.99999995	0.35000000	0.00000000	0.00000000	-0.01080287	0.43746015	-0.04333833	-0.27582240	-0.12271938	0.47313756	-0.00037413	-0.26083604	-0.03831521	0.23191306	-0.24040078	0.44489962	
0.00804300	   8.57119194   19.91115203 -537.98808845    4.83090886   -9.58956351    1.01239131	 -12.91892309  -16.75387072 -392.97487688    6.46564722   -9.70866315    0.95245406	 -0.94126789  26.58586812 -12.68198062 -51.57677312  -2.42993651  20.55229123  -0.03265303 -15.85670183 -12.33743205 -13.17055300  -9.26421181  19.32588247	-0.00006759 -0.00000136 -0.23975381  0.59384480 -0.35460080  0.00000465 -0.00005773  0.00000884 -0.23966006  0.59373642 -0.35464966 -0.00000313	-0.02113103 -0.00614594 -0.00865301  0.01638688  0.00390385  0.00920502 -0.00854057  0.01013604  0.01523606  0.02194472 -0.03243201  0.00188563	-0.00098911 -0.00057510  0.00135105  0.00262872 -0.00015278  0.00045901 -0.00212432  0.00263776  0.00036704  0.00487869 -0.00698408 -0.00074511	-0.00052158 -0.00001579  3.91632654	-0.00009276 -0.00089852  0.00012448	-0.00013114 -0.00011087  0.00004343	 0.00030774  0.00001066 -0.99999995	0.35000000	0.00000000	0.00000000	-0.01353495	0.50875014	-0.04235681	-0.28668821	-0.13263440	0.52688211	0.00270556	-0.28921139	-0.05267518	0.31049076	-0.23218511	0.44130692	
0.00847400	   0.76756857   47.31093166 -664.89112930    8.14887332  -14.36394038   -0.16604992	 -12.97041046  -27.04891434 -245.60545596   10.26430296   -9.18856799    0.69978626	 -1.72045718  45.07962369 -12.37465023 -57.35070078  -7.30518237  33.38747129   0.34385584 -25.63140136 -13.41143739   8.53822364 -15.74003799  27.96512360	-0.00005854 -0.00000534 -0.23972191  0.59386004 -0.35463200  0.00000089 -0.00005621  0.00000504 -0.23975804  0.59397562 -0.35481345 -0.00000828	 0.00091641  0.00079205  0.03199583  0.00533869 -0.00260193  0.01109085 -0.02433828  0.00416430 -0.04569774  0.04122196 -0.05495579 -0.01530400	 0.00164319 -0.00183776  0.00596172  0.00487977 -0.00602542 -0.00083657 -0.00113926  0.00112792 -0.01732317  0.03656594 -0.02591916 -0.00302994	 0.00035408 -0.00156530  3.91373267	 0.00239061 -0.00264030  0.00000009	 0.00022462 -0.00064467  0.00005186	 0.00029403  0.00000367 -0.99999996	0.35000000	0.00000000	0.00000000	-0.01972300	0.55600613	-0.05039236	-0.29495120	-0.12364297	0.55815160	0.00682136	-0.29750076	-0.06997272	0.35108960	-0.21702901	0.43527317	
0.00853900	 -16.01785258   68.90492037 -766.87922399   11.99798874  -21.92774631   -2.26633831	  -7.98538098  -28.30749549 -126.65890053   10.42889268   -5.64842601   -0.31989442	 -3.33493595  65.51985665 -13.19598859 -63.76272302 -10.80552530  47.04813975   1.15336844 -35.06205357 -15.81155337  31.04992226 -21.33161368  36.69077784	-0.00005781 -0.00005407 -0.23971995  0.59403392 -0.35479448  0.00000988 -0.00004656 -0.00007234 -0.24009163  0.59486168 -0.35532298  0.00016660	-0.00998589 -0.02843256  0.00247750  0.05792300 -0.03754830 -0.00104481  0.01801286 -0.00554126 -0.06362774  0.14967798 -0.10706904  0.06031420	 0.00135412 -0.00877770  0.00035283  0.02727103 -0.02345831  0.00156268  0.00176691 -0.01252638 -0.04706984  0.12256214 -0.07143875  0.03373383	 0.00262838 -0.00304109  3.90798538	 0.01193712 -0.00892752 -0.00020859	 0.00278173 -0.00246051 -0.00001024	 0.00024586 -0.00005812 -0.99999997	0.35000000	0.00000000	0.00000000	-0.02211319	0.59176528	-0.05221958	-0.30281213	-0.12052139	0.57773906	0.00715027	-0.30145326	-0.08507768	0.37076142	-0.20559606	0.41786960	
0.00848300	 -31.37947609   89.12500880 -839.37108954   18.20700797  -30.14229239   -4.65015691	 -5.00860776 -19.02601148 -68.47566242   6.93620098  -2.76090398  -0.91446743	 -4.66757987  87.03807537 -13.51524892 -70.70466425 -14.62965379  60.79150616   1.50922127 -44.34213260 -18.99342399  52.69128783 -26.60049767  43.96991063	-0.00006679 -0.00016371 -0.23972338  0.59443451 -0.35519021  0.00005683 -0.00004933 -0.00044217 -0.24099250  0.59707963 -0.35652563  0.00158733	-0.00244531 -0.03894656 -0.01938757  0.05593590 -0.06417823  0.02078797  0.02076155 -0.04550274 -0.13605069  0.33970967 -0.18751199  0.25445937	-0.00113595 -0.01673684 -0.00273344  0.05132425 -0.05186088  0.01160190  0.00078211 -0.05066609 -0.12096558  0.29589200 -0.15970833  0.20624498	 0.00561397 -0.00545191  3.90246847	 0.01927482 -0.01705055 -0.00032940	 0.00743749 -0.00621869 -0.00010363	 0.00013455 -0.00019468 -0.99999997	0.35000000	0.00000000	0.00000000	-0.02838632	0.62426567	-0.06016146	-0.31297731	-0.11272167	0.59066242	0.00655788	-0.30122900	-0.09926647	0.37465250	-0.19360086	0.35542980	
0.00850700	 -47.37700051  101.98546212 -923.38947514   29.39339501  -38.18311662   -8.11798547	  0.41994685 -10.96514593   5.53039196   1.38757590   0.53156317  -0.57421243	 -7.10981827 108.94409428 -15.15686625 -78.34445719 -17.24485509  73.74909056   1.64250540 -52.57198359 -22.89280927  71.13108980 -30.74941615  44.37870249	-0.00005738 -0.00033566 -0.23971613  0.59513484 -0.35579560  0.00031270 -0.00004392 -0.00132479 -0.24282737  0.60144281 -0.35885211  0.00552897	 0.01954626 -0.01051217  0.01605420  0.11792333 -0.07833939  0.01636443  0.02919878 -0.16129916 -0.26653067  0.64027485 -0.35551762  0.58473395	 0.00022118 -0.02020415  0.00026789  0.08811740 -0.07624422  0.03248004  0.00224120 -0.11662688 -0.23668893  0.55937685 -0.29819311  0.51699186	 0.00929093 -0.00863563  3.89698909	 0.02601274 -0.02655503 -0.00044936	 0.01285334 -0.01176724 -0.00020496	-0.00005226 -0.00038941 -0.99999992	0.35000000	0.00000000	0.00000000	-0.04073363	0.65236890	-0.07147231	-0.32883966	-0.10719697	0.59713185	0.00263306	-0.30008063	-0.11771692	0.36480838	-0.17565769	0.24433830	
0.00848200	 -58.21885162  112.19545868 -977.77132021   40.34841292  -45.60811593  -11.00816300	  1.15908755 -14.26162843  19.30461283   0.83100698   0.78352522  -0.27434690	-11.59720189 129.40692170 -17.97636596 -87.28647178 -19.42378281  84.74936316   0.74964123 -59.52717740 -28.37512471  84.10902268 -32.41774920  34.67859716	-0.00005060 -0.00052948 -0.23970766  0.59605244 -0.35657108  0.00071024 -0.00004815 -0.00277616 -0.24597892  0.60864497 -0.36250984  0.01207497	 0.02364207 -0.00706833  0.02161314  0.11014476 -0.09991028  0.01851752 -0.01786458 -0.18491256 -0.42274795  0.98686733 -0.46764093  0.86860980	 0.00275878 -0.01987664  0.00199334  0.11174105 -0.09451072  0.04537097 -0.00031709 -0.18213914 -0.40061887  0.91011048 -0.45714533  0.80325881	 0.01239571 -0.01313903  3.89471226	 0.02716315 -0.03205757 -0.00051254	 0.01774644 -0.01803430 -0.00030320	-0.00030574 -0.00061947 -0.99999976	0.35000000	0.00000000	0.00000000	-0.05196895	0.67266232	-0.08207182	-0.34292981	-0.10871817	0.59719068	0.00336066	-0.30003086	-0.13052075	0.34048510	-0.16045664	0.12834291	
