time	LF_FT_fx	LF_FT_fy	LF_FT_fz	LF_FT_tx	LF_FT_ty	LF_FT_tz	RF_FT_fx	RF_FT_fy	RF_FT_fz	RF_FT_tx	RF_FT_ty	RF_FT_tz	torque_des_0	torque_des_1	torque_des_2	torque_des_3	torque_des_4	torque_des_5	torque_des_6	torque_des_7	torque_des_8	torque_des_9	torque_des_10	torque_des_11	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	qdot_0	qdot_1	qdot_2	qdot_3	qdot_4	qdot_5	qdot_6	qdot_7	qdot_8	qdot_9	qdot_10	qdot_11	qdot_lpf_0	qdot_lpf_1	qdot_lpf_2	qdot_lpf_3	qdot_lpf_4	qdot_lpf_5	qdot_lpf_6	qdot_lpf_7	qdot_lpf_8	qdot_lpf_9	qdot_lpf_10	qdot_lpf_11	base_lin_vel_x	base_lin_vel_y	base_lin_vel_z	base_lin_vel_lpf_x	base_lin_vel_lpf_y	base_lin_vel_lpf_z	base_ang_vel_x	base_ang_vel_y	base_ang_vel_z	base_ang_vel_lpf_x	base_ang_vel_lpf_y	base_ang_vel_lpf_z	projected_grav_x	projected_grav_y	projected_grav_z	cmd_x	cmd_y	cmd_yaw	input_0	input_1	input_2	input_3	input_4	input_5	input_6	input_7	input_8	input_9	input_10	input_11	input_12	input_13	input_14	input_15	input_16	input_17	input_18	input_19	input_20	input_21	input_22	input_23	input_24	input_25	input_26	input_27	input_28	input_29	input_30	input_31	input_32	input_33	input_34	input_35	input_36	input_37	input_38	input_39	input_40	input_41	input_42	input_43	input_44	input_45	input_46	action_0	action_1	action_2	action_3	action_4	action_5	action_6	action_7	action_8	action_9	action_10	action_11	q_des_0	q_des_1	q_des_2	q_des_3	q_des_4	q_des_5	q_des_6	q_des_7	q_des_8	q_des_9	q_des_10	q_des_11	
0.00800000	   1.06360684   -0.27411543 -517.51377882    0.34533868   -8.39748855    0.10713493	  -1.06356991    0.27422622 -505.48803439    0.09292053  -10.05269882    0.11083708	 -0.00059996   0.03610386 -13.23834998 -41.80705088   6.68983841  -0.00152184  -0.00055256  -0.03607919 -13.23192247 -41.79046677   6.69414193   0.00093268	-0.00003536  0.00004716 -0.23965495  0.59879377 -0.35868286  0.00005749  0.00001480  0.00005134 -0.23963223  0.59874992 -0.35873726  0.00002731	-0.00010983  0.00142950 -0.00032303 -0.00124883  0.00141218 -0.00108840 -0.00119071  0.00026409  0.00044755  0.00089742 -0.00063992  0.00016952	-0.00007176  0.00093400 -0.00021106 -0.00081595  0.00092268 -0.00071113 -0.00077798  0.00017255  0.00029242  0.00058635 -0.00041810  0.00011076	 0.00251106 -0.00022468  3.92343395	 0.00050434 -0.00004513  0.78801638	-0.00000226 -0.00020364  0.00001591	-0.00000045 -0.00004090  0.00000319	-0.00065714  0.00005609 -0.99999978	0.00000000	0.00000000	0.00000000	-0.00000150	-0.00309263	0.00000511	-0.27680874	0.00093500	-0.30133232	-0.57672596	-0.00000000	0.00000000	-0.00359616	-0.42716360	0.47806770	-1.17208505	1.07285357	0.12275667	0.00365589	0.42703429	0.47805792	-1.17211008	1.07288599	-0.12274323	-0.00031749	-0.00196529	0.00258292	-0.00990460	0.00665726	0.00231683	-0.00056211	0.00383404	0.00297292	-0.00919862	0.00564638	-0.00273875	1.40156412	-0.00002701	0.01826052	-0.44044420	0.40739968	-0.46582407	0.35748547	-0.11051548	-0.01835826	0.44086334	0.40747559	-0.46590391	0.35731643	0.11079364	0.16144025	-0.48696464	-0.07146163	-0.50038707	0.01423191	-0.46913043	-0.06214573	0.22254473	-0.01452570	-0.23910944	0.03800405	0.29017282	-0.00004342  0.00005463 -0.23965046  0.59878945 -0.35867968  0.00006180  0.00001349  0.00005504 -0.23962596  0.59875315 -0.35874489  0.00002081	
0.00851200	  -6.34947393   -0.61984840 -461.19701684    0.32791795    0.98483229   -0.00469310	  -6.32910880    0.12705451 -455.66519066    0.08893348    0.68706804   -0.01060279	-0.00231182 -0.35374270 -0.03966067 -0.80176368  0.27847720 -0.06698753 -0.10366360 -0.12586269  0.19131309 -0.80548353  0.30744628  0.12654785	-0.00005344  0.00004748 -0.23964298  0.59908528 -0.35884342  0.00006743  0.00001616  0.00005229 -0.23962491  0.59905013 -0.35890062  0.00001334	-0.01764820 -0.02014777 -0.00503864  0.09658782 -0.05035088  0.02552215  0.00543088 -0.00086271  0.00129481  0.07644487 -0.03835919  0.00422608	-0.00240899 -0.00215898  0.00218646  0.05418118 -0.02856616  0.00219250  0.00171910 -0.00033232 -0.00022516  0.05388328 -0.02812283 -0.00205190	 0.00703670 -0.00018892  3.91186294	 0.00189730 -0.00010138  1.86547571	-0.00003981 -0.03052362  0.00001700	-0.00000697 -0.00488994  0.00000847	-0.00076591  0.00005624 -0.99999971	0.00000000	0.00000000	0.00000000	-0.00002300	-0.01694526	0.00001353	-0.28042924	0.00130066	-0.30133045	-0.57672596	-0.00000000	0.00000000	-0.00371150	-0.42716011	0.47812217	-1.17104006	1.07204151	0.12282149	0.00366454	0.42704472	0.47809127	-1.17103386	1.07205987	-0.12283433	-0.00273687	-0.00718873	0.00444007	0.01778074	-0.01557647	0.00435738	0.00202273	0.00298141	0.00257200	0.01763066	-0.01524229	-0.00425857	1.40156412	-0.00002701	0.54482490	-2.27954078	0.93853402	-1.48493159	1.35008466	-1.69202888	-0.22104818	1.28104508	1.11833155	-0.95136404	1.41337824	1.08881092	0.26459470	-0.14437842	0.03274717	-0.30710900	-0.40695900	0.20938715	-0.19457331	0.17436141	0.03607184	-0.34219557	-0.43892908	0.07199012	 0.00011485 -0.00003175 -0.23948754  0.59862489 -0.35870856  0.00018699 -0.00010288  0.00015929 -0.23946108  0.59856969 -0.35879284  0.00006385	
0.00847500	  -5.35259074   -0.72609484 -455.18077799    0.36593759    2.70585808   -0.00255275	  -4.47106482    0.06555134 -451.22575930    0.08941917    2.80770832   -0.07165990	-0.02126132 -0.65086414  0.12618420 -1.98383388  1.21775278  0.00810770 -0.02495287  0.21780274  0.26712719 -2.07359149  0.74735039 -0.08050338	-0.00003947  0.00005747 -0.23964406  0.60023503 -0.35954301  0.00006130  0.00001193  0.00004809 -0.23962726  0.60018730 -0.35956935  0.00002052	-0.00899944 -0.00504889  0.00055856  0.18952096 -0.11967894 -0.00522645  0.01145821  0.00315525 -0.01873497  0.17834201 -0.11936053 -0.00064606	 0.00083814  0.00071493  0.00250521  0.15070812 -0.09316448  0.00043747  0.00030082 -0.00126304 -0.00118149  0.14958061 -0.08821024  0.00016909	 0.01347492 -0.00013314  3.89708808	 0.00489684 -0.00012063  2.56539643	-0.00009965 -0.06770781  0.00000299	-0.00003010 -0.02099539  0.00001051	-0.00119473  0.00005686 -0.99999928	0.00000000	0.00000000	0.00000000	-0.00009930	-0.06295499	0.00001680	-0.28564516	0.00132066	-0.30131912	-0.57672596	-0.00000000	0.00000000	-0.00362238	-0.42705017	0.47811723	-1.16691875	1.06850326	0.12278154	0.00363759	0.42699856	0.47808057	-1.16695750	1.06867766	-0.12278754	0.00062439	-0.00233525	0.00468698	0.06637203	-0.06428170	0.00312402	0.00055461	0.00140960	0.00183121	0.06580400	-0.06054670	-0.00269775	1.40156412	-0.00002701	0.88118988	-0.98585659	1.26762164	-1.09023309	0.22897777	0.59506071	-0.65287042	1.09909177	1.27811623	-1.16187799	0.14388308	0.35338107	0.20466109	-0.09865360	-0.00025833	-0.47175333	-0.39480639	-0.00567470	-0.22459963	0.11304672	0.03969380	-0.11401482	-0.41740596	0.12732109	 0.00043953 -0.00017825 -0.23908567  0.59779060 -0.35876492  0.00004827 -0.00051643  0.00032162 -0.23896697  0.59851402 -0.35888329  0.00032115	
0.00848100	  -3.19714862   -0.74281946 -458.22461712    0.32186936    3.40190998    0.06740438	  -2.62200601    0.26458082 -452.55629699    0.09971784    3.60611103   -0.11930878	 0.32669412  0.10407551  0.32252877 -4.35107266  2.18500998  0.27983951 -0.36146508  0.27613760  0.76792257 -3.59075790  1.76629749 -0.05495509	-0.00004061  0.00006394 -0.23964929  0.60223214 -0.36073697  0.00006967  0.00002071  0.00006281 -0.23962204  0.60217928 -0.36073781  0.00001383	 0.01077971  0.02464469 -0.01709865  0.30916919 -0.15987903  0.03302553  0.01216658  0.01006240  0.02154766  0.31734805 -0.15627680 -0.03367379	 0.00070682  0.00262998 -0.00051057  0.25402281 -0.15178235  0.00270469  0.00283041  0.00223342  0.00186328  0.25300001 -0.14582003 -0.00202091	 0.02044158 -0.00009278  3.88303625	 0.00917797 -0.00011662  3.02026508	-0.00014600 -0.10210546 -0.00000042	-0.00006372 -0.04377850  0.00000847	-0.00192709  0.00005793 -0.99999814	0.00000000	0.00000000	0.00000000	-0.00021018	-0.12804133	0.00001354	-0.29526877	0.00134349	-0.30128890	-0.57672596	-0.00000000	0.00000000	-0.00362965	-0.42697904	0.47809348	-1.15975976	1.06246471	0.12283609	0.00369360	0.42716050	0.47810429	-1.15981698	1.06276822	-0.12283114	0.00048845	0.00089889	0.00235091	0.11838024	-0.10847786	0.00471732	0.00317310	0.00731445	0.00418974	0.11786458	-0.10398303	-0.00423680	1.40156412	-0.00002701	0.68575895	-0.81318909	1.16339147	-1.42645776	0.26132503	-0.12985159	-0.75078076	0.86755067	1.28955424	-0.69590628	0.20117307	0.53988558	0.23387825	-0.09825905	-0.02711233	-0.45842060	-0.39634639	0.09799391	-0.26272792	0.11975187	0.04226197	-0.11696586	-0.45367566	0.10070952	 0.00118518 -0.00046173 -0.23853417  0.59662884 -0.35887751  0.00057616 -0.00136648  0.00068371 -0.23814543  0.59820682 -0.35924348  0.00054965	
0.00853900	  -1.27734007   -0.98046539 -462.74752488    0.39441663    3.93625518    0.20235799	  -1.14457076    0.63116928 -454.69875993    0.12048245    4.04221641   -0.22608182	 0.56655320 -0.85446165  0.94633346 -6.23246335  2.87453902  0.38998286 -0.31377165  0.54604195  0.80881003 -5.30872427  2.47764375  0.46845118	-0.00003973  0.00004802 -0.23965794  0.60496070 -0.36242291  0.00006160  0.00000607  0.00006425 -0.23962592  0.60490583 -0.36241250  0.00001857	 0.00364293 -0.00397820 -0.00047825  0.35067503 -0.21422137 -0.00004565  0.00059463  0.00616703 -0.00116339  0.34786721 -0.21341827  0.00063727	 0.00065357 -0.00132464 -0.00108570  0.32928253 -0.20343659 -0.00011392 -0.00136443  0.00185933 -0.00022479  0.32841457 -0.20088863 -0.00040749	 0.02767285 -0.00006855  3.87065839	 0.01451352 -0.00010320  3.31086548	-0.00017895 -0.13371062 -0.00000613	-0.00009869 -0.07022228  0.00000355	-0.00293931  0.00005933 -0.99999568	0.00000000	0.00000000	0.00000000	-0.00032555	-0.20358537	0.00000567	-0.30918172	0.00137455	-0.30122089	-0.57672596	-0.00000000	0.00000000	-0.00362403	-0.42715421	0.47805411	-1.14997876	1.05393791	0.12278345	0.00360021	0.42717630	0.47808665	-1.15004337	1.05429852	-0.12280025	0.00043333	-0.00577968	0.00190541	0.15626569	-0.14742365	0.00273653	-0.00116917	0.00668268	0.00257229	0.15582772	-0.14550339	-0.00310295	1.40156412	-0.00002701	0.78103000	-0.81169921	1.07858741	-1.39923072	0.25722593	0.21958581	-0.87511015	0.89287120	1.29766428	-0.70193261	0.10463081	0.45018578	0.26831263	-0.06626270	-0.07000649	-0.51536757	-0.42800194	0.10193492	-0.25145853	0.09652975	0.03577692	-0.05216939	-0.45842096	0.11260132	 0.00244508 -0.00056034 -0.23807733  0.59449953 -0.35932252  0.00100648 -0.00231844  0.00094966 -0.23707211  0.59832931 -0.35966921  0.00106479	
0.00800600	   1.00983949   -0.85161812 -469.26456316    0.43023032    4.20670905    0.42887146	  -0.20699572    0.83107925 -456.90982252    0.14869589    4.31576838   -0.33117968	  0.95326866  -0.54094056   1.07658931 -10.50916361   4.11563628   0.46358752  -0.77832072   0.47710251   1.79583625  -7.89423502   3.97561322   0.74046217	-0.00003832  0.00004553 -0.23965574  0.60817918 -0.36440147  0.00006762  0.00001193  0.00006219 -0.23961974  0.60811291 -0.36437108  0.00001425	 0.01723897 -0.01487611 -0.00918194  0.39372083 -0.25324277  0.02011224 -0.00811033  0.01403071  0.02285991  0.39500328 -0.24047584  0.00287395	 0.00132385 -0.00321376 -0.00126437  0.40868235 -0.25435377  0.00226923 -0.00149867  0.00235850  0.00235053  0.40814417 -0.25042058 -0.00172006	 0.03499086 -0.00006800  3.85928760	 0.02018441 -0.00009087  3.49230649	-0.00018541 -0.16074911 -0.00000290	-0.00012698 -0.09615373 -0.00000002	-0.00412606  0.00006080 -0.99999149	0.00000000	0.00000000	0.00000000	-0.00041887	-0.27766582	-0.00000003	-0.32562724	0.00140832	-0.30110383	-0.57672596	-0.00000000	0.00000000	-0.00361501	-0.42718160	0.47806412	-1.13844180	1.04393113	0.12282271	0.00363759	0.42715362	0.47811475	-1.13854718	1.04439294	-0.12282840	0.00112717	-0.00897004	0.00176700	0.19623525	-0.18581371	0.00441130	-0.00130813	0.00752567	0.00456717	0.19596303	-0.18284923	-0.00402537	1.40156412	-0.00002701	0.89331329	-0.69087368	0.94312924	-1.51552367	0.17296661	0.23286983	-0.83836275	0.80517817	1.27718484	-0.56961071	0.09199981	0.49026954	0.29812396	-0.05060199	-0.11750297	-0.54086602	-0.42861867	0.12554733	-0.24732032	0.07654504	0.02230328	-0.02783127	-0.45496196	0.10391357	 0.00413762 -0.00065570 -0.23793764  0.59198058 -0.35966039  0.00182142 -0.00345474  0.00112762 -0.23595306  0.59841943 -0.36009410  0.00147764	
0.00845300	   3.79005924   -0.73622149 -477.52577719    0.52030321    4.62615179    0.73425544	   0.68733147    1.09183317 -459.71090623    0.18875095    4.55743828   -0.43520522	  1.30238997  -0.83556613   1.29070941 -13.43202583   4.66443057   1.00058321  -1.04345232   1.13392382   2.28451459  -9.30638655   4.51352181   0.71395401	-0.00004627  0.00006012 -0.23965240  0.61217439 -0.36688196  0.00005860  0.00001549  0.00005767 -0.23963442  0.61210515 -0.36684191  0.00002165	 0.00495777  0.00331556  0.01679915  0.50993662 -0.35417596  0.01224708  0.01465388  0.01726141 -0.02386817  0.53442878 -0.33825035  0.01180060	 0.00013892  0.00176024 -0.00034648  0.48298662 -0.30341262 -0.00030122  0.00167548  0.00124697 -0.00268038  0.48266300 -0.29995740  0.00048093	 0.04291172 -0.00009770  3.84853528	 0.02678809 -0.00008779  3.61596302	-0.00015866 -0.18611063 -0.00001024	-0.00014274 -0.12329423 -0.00000326	-0.00560891  0.00006228 -0.99998427	0.00000000	0.00000000	0.00000000	-0.00047087	-0.35520026	-0.00000521	-0.34637943	0.00144346	-0.30089986	-0.57672596	-0.00000000	0.00000000	-0.00366576	-0.42702106	0.47807929	-1.12412035	1.03138590	0.12276390	0.00366031	0.42710400	0.47804800	-1.12423646	1.03189683	-0.12278018	-0.00009941	-0.00056992	0.00247802	0.23363975	-0.22280264	0.00260490	0.00197757	0.00564851	0.00067014	0.23347527	-0.22019875	-0.00247861	1.40156412	-0.00002701	0.99052173	-0.63173527	0.79313701	-1.56759477	0.17132503	0.31246054	-0.82486880	0.72971040	1.23463571	-0.51990944	0.10120695	0.46098569	0.33621711	-0.03379406	-0.16345680	-0.57581437	-0.43647158	0.15221524	-0.23338935	0.05803207	0.00043168	-0.00938627	-0.44890326	0.10535567	 0.00669302 -0.00062348 -0.23812404  0.58843172 -0.36023811  0.00310995 -0.00466236  0.00121652 -0.23481679  0.59860891 -0.36055106  0.00213103	
0.00802600	   6.62129843   -0.45953847 -485.92480623    0.64746653    4.89114309    1.08071995	   1.25203410    1.15770156 -462.27483435    0.26540747    4.76203037   -0.57539567	  2.01813653  -0.11639544   0.90504120 -17.15833570   5.52763156   1.45886169  -1.28013701   1.06511352   2.69810410 -11.59061134   5.54877655   0.90073408	-0.00004152  0.00005311 -0.23964690  0.61641076 -0.36950887  0.00006428  0.00001858  0.00006351 -0.23962427  0.61634701 -0.36946981  0.00002313	 0.00749531  0.00114098  0.00655671  0.53966875 -0.35145673  0.00906729  0.02890584  0.03255382 -0.00941275  0.52358649 -0.32983159 -0.01453404	 0.00045451 -0.00015820  0.00063871  0.53411727 -0.33381504  0.00086065  0.00191943  0.00262860  0.00115403  0.53310300 -0.33120391  0.00011122	 0.05041020 -0.00015388  3.83969553	 0.03347769 -0.00010062  3.69071472	-0.00010412 -0.20678675 -0.00000514	-0.00013862 -0.14785800 -0.00000592	-0.00718786  0.00006334 -0.99997416	0.00000000	0.00000000	0.00000000	-0.00045726	-0.42537349	-0.00000947	-0.36882079	0.00147036	-0.30060524	-0.57672596	-0.00000000	0.00000000	-0.00363543	-0.42709816	0.47810432	-1.10893452	1.01810002	0.12280097	0.00367997	0.42716819	0.47809416	-1.10903096	1.01860631	-0.12277053	0.00022728	-0.00380980	0.00324116	0.25937870	-0.24572518	0.00342141	0.00223010	0.00798183	0.00364034	0.25886637	-0.24375784	-0.00273843	1.40156412	-0.00002701	1.11473548	-0.56826460	0.64801651	-1.63896382	0.15042251	0.40235046	-0.77944243	0.65980041	1.16556633	-0.48224258	0.11733391	0.46584660	0.37172094	-0.01351520	-0.21269074	-0.60510033	-0.44191802	0.17495959	-0.21711195	0.03541376	-0.02399611	0.01401981	-0.44335806	0.10506708	 0.00986707 -0.00030712 -0.23893176  0.58430403 -0.36089864  0.00472422 -0.00577463  0.00099763 -0.23387770  0.59912276 -0.36100051  0.00282113	
0.00847700	   9.86296327    0.00428418 -496.19733390    0.84582837    5.20596848    1.53912338	   1.64535138    1.18769863 -464.44213567    0.35003623    4.90034198   -0.75893099	  2.71818917  -0.02113536   0.36364932 -21.92321413   7.13564815   2.27956380  -1.74243090   0.81579215   3.25657385 -14.07576605   6.72358083   1.26135212	-0.00004873  0.00005056 -0.23964964  0.62135461 -0.37256913  0.00006012  0.00000939  0.00004839 -0.23963786  0.62128523 -0.37253762  0.00002981	-0.01121268 -0.00218461 -0.00930471  0.66056549 -0.39765295  0.01300415 -0.01912706 -0.00409051 -0.01470954  0.60993109 -0.38415634  0.01330689	-0.00104758 -0.00155417 -0.00004765  0.59340209 -0.36841380 -0.00080949 -0.00115376 -0.00147538 -0.00260989  0.58908215 -0.36498168  0.00203465	 0.05829742 -0.00025100  3.83176920	 0.04082362 -0.00013663  3.74031086	-0.00000230 -0.22524786 -0.00001578	-0.00010831 -0.17177051 -0.00000870	-0.00903099  0.00006379 -0.99995922	0.00000000	0.00000000	0.00000000	-0.00035729	-0.49368629	-0.00001392	-0.39503318	0.00148515	-0.30016521	-0.57672596	-0.00000000	0.00000000	-0.00368144	-0.42712623	0.47809187	-1.09121263	1.00262249	0.12277380	0.00362140	0.42700183	0.47803232	-1.09132934	1.00309086	-0.12272698	-0.00132762	-0.00616732	0.00270949	0.28922245	-0.27181163	0.00224770	-0.00095110	0.00105101	0.00072474	0.28704590	-0.26922545	-0.00138672	1.40156412	-0.00002701	1.23050606	-0.49168697	0.49253750	-1.69876945	0.13592544	0.47901517	-0.72636479	0.57438749	1.08842444	-0.43444467	0.13209406	0.46487385	0.40974215	0.00581330	-0.26374164	-0.64002973	-0.44540429	0.19922036	-0.19708905	0.01433848	-0.04929556	0.03731276	-0.43733779	0.10538388	 0.01413219  0.00025384 -0.24048384  0.57890499 -0.36167973  0.00695124 -0.00680482  0.00054914 -0.23304191  0.59995794 -0.36146364  0.00366561	
0.00804000	  11.63110062    1.05351296 -509.88180111    1.07979601    5.17076251    1.86105389	   3.07382122    1.21818377 -463.17985043    0.48001847    5.25841063   -1.11971842	  3.90001999  -0.22639665  -0.27629588 -26.17870386   7.61788992   3.09087216  -1.78691899   0.22191181   3.59573370 -15.75990280   7.96741089   1.70720770	-0.00004347  0.00006152 -0.23963566  0.62627967 -0.37562392  0.00005402  0.00000717  0.00005793 -0.23962449  0.62625272 -0.37561741  0.00003080	 0.01912837 -0.00279872  0.02262777  0.59501405 -0.38613312 -0.02312808 -0.01571379  0.01452113  0.02590749  0.61164900 -0.36392138  0.03073943	 0.00137573  0.00193574  0.00284892  0.61439266 -0.38294093 -0.00325491 -0.00262575  0.00101212  0.00286778  0.62053417 -0.38336626  0.00421168	 0.06567796 -0.00040981  3.82573510	 0.04794723 -0.00020060  3.76924933	 0.00018040 -0.23978890 -0.00005280	-0.00004326 -0.19214641 -0.00001755	-0.01089664  0.00006313 -0.99994063	0.00000000	0.00000000	0.00000000	-0.00014271	-0.55189574	-0.00002805	-0.42185244	0.00147679	-0.29960996	-0.57672596	-0.00000000	0.00000000	-0.00364787	-0.42700565	0.47815546	-1.07355809	0.98717248	0.12273405	0.00360719	0.42710677	0.47809318	-1.07352269	0.98751479	-0.12272047	0.00118088	-0.00027354	0.00495322	0.29978901	-0.28276464	0.00052918	-0.00247482	0.00525190	0.00496784	0.30287859	-0.28308696	0.00014320	1.40156412	-0.00002701	1.35448515	-0.41869813	0.33132058	-1.77009976	0.12664583	0.56079131	-0.66107374	0.49480146	1.00853002	-0.38687775	0.14811876	0.46594167	0.44678256	0.02234661	-0.31514925	-0.66466206	-0.45381099	0.22485679	-0.17714182	-0.01071489	-0.07654699	0.06346421	-0.43237820	0.10822479	 0.01916053  0.00101271 -0.24289529  0.57313186 -0.36276829  0.00972317 -0.00760039 -0.00040784 -0.23261705  0.60126156 -0.36190954  0.00467126	
